Date, ALMANYA, ARNAVUTLUK, AVUSTURYA, BELCIKA, BOSNAHERSEK, BULGARISTAN, CEKCUMHURIYETI, DANIMARKA, ESTONYA, FINLANDIYA, FRANSA, GKIBRIS, HIRVATISTAN, HOLLANDA, INGILTERE, IRLANDA, ISPANYA, ISVEC, ISVICRE, ITALYA, IZLANDA, KARADAG, KOSOVA, LETONYA, LITVANYA, LUKSEMBURG, MACARISTAN, MAKEDONYA, MALTA, NORVEC, POLONYA, PORTEKIZ, ROMANYA, SIRBISTAN, SLOVAKYA, SLOVENYA, YUNANISTAN, DAVRUPA, AVRUPATOP, AZERBAYCAN, BELARUS, ERMENISTAN, GURCISTAN, KAZAKISTAN, KIRGIZISTAN, MOLDOVACUM, OZBEKISTAN, RUSYA, TACIKISTAN, TURKMENISTAN, UKRAYNA, BDTTOPLAM, ABD, ARJANTIN, BREZILYA, KANADA, KOLOMBIYA, MEKSIKA, SILI, VENEZUELLA, DAMERIKA, AMERIKATOP, CEZAYIR, FAS, GAFRIKA, LIBYA, MISIR, SUDAN, TUNUS, DAFRIKA, AFRIKATOP, BAE, BAHREYN, BANGLADES, CIN, ENDONEZYA, FILIPINLER, GKORE, HINDISTAN, IRAK, IRAN, ISRAIL, JAPONYA, KKTC, KATAR, KUVEYT, LUBNAN, MALEZYA, PAKISTAN, SINGAPUR, SURIYE, SUUDARABISTAN, TAYLAND, URDUN, YEMEN, DASYA, ASYATOP, AVUSTRALYA, YENIZELLANDA, OKYANUSYA, MILLIYESIZ, GTOPLAM
01-04-2016,24293300,519100,1325200,2842100,462800,14996100,336800,1913200,332100,1392300,4140500,54400,183500,4603300,9899300,300000,815500,2074000,1630400,1734400,18800,146000,636500,202000,769200,39400,373100,1166100,41100,941400,633300,204300,2219900,884300,177300,140200,5296900,8600,87746700,3458800,293700,227200,18242300,859600,618100,781900,719900,2733400,182400,1157900,3851600,33126800,3536300,695300,270300,753100,94000,145900,59000,33800,233700,5821400,1756100,766500,224400,550600,783500,85400,814800,744900,5726200,771400,313200,68200,1154400,598700,600200,879400,768700,1682600,12052700,2289000,343600,1504600,405400,1123800,1110400,523300,379500,154800,1300800,2385000,125900,1127400,173200,1360000,33196200,691600,133600,4600,294200,166741300
01-05-2016,39250700,529700,2154300,3144900,589800,16545400,452000,3327000,633900,1950700,4440200,65000,207200,13571900,17445700,594200,947500,3788300,2298400,1927000,25000,168300,891000,497100,1693000,70900,431300,1396900,42600,1596800,2096000,270700,2930600,1021500,277700,166000,5597300,14000,133050500,4184100,772300,288100,20809200,1285200,766400,1104900,864800,3758500,192000,1370000,9806900,45202400,5686800,835600,474100,1438700,210500,263200,179300,51200,413700,9553100,1788100,822800,305900,640700,862800,121200,1078100,898100,6517700,284100,340300,90300,1406200,462400,506000,892300,1041400,1968400,12215300,1938300,431200,1829600,188400,1548300,1523900,463500,516800,163300,1367400,3865400,118200,1826900,194700,1523600,36706200,1336700,191600,17800,327100,232903100
01-06-2016,32412500,800100,1976000,2767000,602300,14842000,1142400,3411200,428500,1699000,3225200,73200,196600,7308800,23335000,723000,1024000,4119400,1595100,2135200,78300,161200,1271800,445800,1627100,36100,720200,1147900,48100,1707200,3099900,293500,4409500,1019100,639200,148700,5126400,10100,125806600,5031900,1470300,342800,19643500,3155300,761000,1826300,972400,4280500,205500,1264500,14407600,53361600,7020700,801300,480500,1235300,321700,317200,180100,47900,393100,10797800,845400,476100,321900,705100,634500,103100,705600,914800,4706500,80800,86400,85700,1947100,318600,481700,1126900,1125900,2334700,15706900,1260900,458000,1805400,76100,722200,959000,396400,485100,172100,1325000,2755200,133400,980500,146600,1640100,36610700,1575700,269500,4700,279600,233412700
01-07-2016,38071300,1017000,3763200,6443100,798100,17195700,1654300,7590000,370500,1380300,4592900,146200,164700,8508000,23385900,792200,970300,4877800,2637200,1649600,80100,115600,1261900,346700,1266600,35300,993200,1420400,54000,3161200,3678400,242300,5791100,1031600,1391100,203500,4320600,24800,151426700,7128900,1974000,337000,19985000,4656900,669800,2032800,1047300,4705700,209600,1500400,17741000,61988400,4827100,473900,462900,1090000,255800,280200,107500,41800,367700,7906900,1091900,560400,380500,644200,750000,104300,681500,728500,4941300,315200,281800,76300,1253100,330500,434400,1029200,589500,3299700,15282000,4081400,357200,2341300,245800,1421200,2375800,237500,613700,113600,1300700,4720900,120800,2788100,184200,1457100,45251000,1230400,211400,4800,430000,273390900
01-08-2016,71439300,1415600,8489900,11267200,919100,13813300,1386300,5244700,307800,1274000,15704500,266500,158700,23400100,29370300,753400,1458900,5566100,3224800,2582400,19400,134100,1313900,333600,1178000,87700,926400,1713300,70800,2341400,3399400,344700,4825100,1097400,1206800,175200,5581900,27900,222819900,9485800,2083000,515600,21690300,5248900,859000,1984800,1352000,9248300,225700,1836900,17497700,72028000,4440000,385000,406700,1262000,179500,143100,76100,56300,298800,7247500,2654500,1130100,220700,768400,850500,94900,932300,768400,7419800,304000,516200,56900,1012100,211600,565100,696900,453400,4845100,10784300,4884300,347700,2828300,524200,3179700,3118300,166800,531200,83400,1903600,10861700,81300,3407000,283400,1403100,53049600,1006200,144300,3700,578700,364297700
01-09-2016,51487600,936500,4072000,4621200,622200,18212100,1405600,3147300,331100,1154500,5674600,122300,152200,9577900,27068400,659600,839900,3219600,1771800,1789500,18600,127300,1072300,422000,1453300,73500,813300,1537900,73000,1365700,2810300,236500,4471100,1058000,1187300,149300,5210900,10400,158956600,5963600,1976600,376700,24030600,3061300,749700,1708100,976900,15570100,205900,1344500,15517300,71481300,4047400,544300,400200,1161600,208000,250700,113400,61000,384900,7171500,1485100,723900,276000,754000,886300,85700,686400,743900,5641300,331100,436600,59800,1057200,271600,642600,702100,553200,5715200,18998800,5259000,376500,2271100,532100,3735200,2653500,269700,424000,102900,2387500,11301600,99900,3778500,425900,1307300,63692900,1233000,191300,4000,590400,308962300
01-10-2016,57552600,557100,2228200,2882100,663500,14852700,881800,3827800,558200,1626200,4026700,61000,193200,10160500,21920700,544300,824800,2814400,3954100,1683000,25400,155200,880700,627600,1809400,35900,542700,1436900,50300,1541500,1966600,234200,2324700,1116300,418000,157300,6032000,19300,151186900,4489800,1493500,392700,18242500,1404000,806600,1105500,924300,26388700,247400,1352200,10175900,67023100,3980300,539900,461800,1101500,210500,207000,79900,56700,401300,7038900,1860400,719700,285900,669500,839200,89600,928100,798800,6191200,206100,317100,61200,1556200,393100,698200,673700,589600,4787900,14222700,2966900,329800,1772700,144900,1115300,1513400,272400,478600,97800,1432700,2984500,118700,1868300,212300,1296600,40110700,990600,123200,4400,395900,273064900
01-11-2016,18669800,564900,1338000,2335500,418600,12078500,321200,769900,100400,389700,3028200,51700,163700,2916200,4313100,234000,670200,1419200,819100,1443700,10200,133400,589600,139400,419500,30900,340700,985100,37800,635600,696000,170900,1861900,817500,207300,145000,4938100,8500,64213000,4387100,360700,365500,17450800,958500,622000,697700,821000,8434000,194400,1268000,3447500,39007200,2315500,374400,298700,579700,120800,121000,37000,29000,244000,4120100,1568100,670900,157200,532100,659500,86700,813000,857300,5344800,160100,178600,64000,1482900,451200,405000,611700,509100,3778500,11155700,1541600,276000,1579600,127700,881400,1425000,305200,457900,92800,1454300,4808700,66900,1170300,246300,1229200,34459700,411100,51400,2400,293300,147903000
01-12-2016,10586600,508200,1049900,1152500,316100,12666100,209300,491600,67700,259900,2437800,45000,136300,2319300,2860700,155900,711300,795700,691100,1422100,10800,123000,456400,107800,156500,14900,258600,896000,41600,415200,428700,146500,1677700,769100,119000,104800,4560800,5700,49176200,4265700,252500,295400,17129400,879800,578000,838200,892400,3674900,175400,1660100,2996700,33638500,2188900,278000,252400,537500,115100,81600,24400,40400,188600,3706900,1130900,631100,188700,499600,650300,77100,810800,768100,4756600,532400,521900,57400,1581700,502700,373000,766700,500500,3509800,11307700,1361800,341300,1507000,209600,981600,1065600,880100,375000,224500,1629400,1897000,99400,914200,146900,1235300,32522500,314900,51100,2500,240900,124410100
01-01-2017,12152100,485100,1625200,1393700,354900,8446500,186500,449100,100200,224700,2420900,42700,121200,2705900,2839700,154200,558600,992800,865700,1345400,10100,119000,522200,92600,146500,17400,235800,814100,33900,418900,422600,129900,1373200,602000,130200,105000,3339000,10400,45987900,4226500,252300,178500,13837200,903500,604100,625000,773200,5025800,168900,1246400,3005100,30846500,2276100,319300,277100,535100,119500,74900,28600,51500,177800,3859900,1163700,632500,229900,602800,649100,70900,957900,714800,5021600,434200,508500,85800,1520000,911700,364500,989800,469100,3975100,10451400,1445000,277800,1272200,273300,1435900,960400,321700,478400,91700,1698700,1610800,162000,888700,162600,1297800,32087100,348000,50600,2800,291300,118495700
01-02-2017,8030000,398800,1064400,868000,338500,10323800,237500,662400,63700,189600,2226400,54600,143300,1952200,2749600,140700,483900,734300,657700,1005900,13400,100800,449200,84300,157700,13000,218900,849500,20900,361100,421800,108600,1504000,711700,160400,143400,3445600,7000,41096600,3721100,267600,247900,13774300,961700,590500,614000,932700,3623100,214500,1297400,2849200,29094000,1420700,285900,195900,358100,66800,57200,55500,27800,159200,2627100,888200,583600,112700,563200,617300,47000,565300,525700,3903000,98600,528800,56200,1339900,672600,285500,853000,355300,4370700,12806300,853700,243800,1745800,363300,1432300,712500,370600,288400,58600,1569100,2631100,95900,796300,169400,1156800,33854500,229000,35000,1800,254000,111095000
01-03-2017,12034800,575200,1033000,1356500,488500,14810000,276100,915800,85000,266400,2347000,48100,169400,2665900,3617300,161600,651900,1000200,758500,1317600,11600,146300,588700,108900,180700,14800,265000,1168800,33200,537000,482900,139200,1924300,911800,155600,121700,4013200,7100,55389600,5311800,312100,322500,17249700,1096600,698100,755300,1099300,5114000,200700,1616800,3690800,37467700,2057300,344900,241900,475500,97100,109200,39300,41300,219600,3626100,1692000,651200,154300,676000,673300,76700,826200,628900,5378600,234600,307100,58300,1451300,738200,361600,859700,515100,5151300,22544000,1329700,323300,1554800,134600,1127500,1142100,447800,441500,94400,1662900,1900000,146200,1043700,173800,1484900,45228400,229500,37900,1700,279100,147638600
01-04-2017,23502800,621700,1502200,2693500,582500,15234800,290100,1426500,300900,659800,3824600,57400,173700,4185100,9921600,275400,876600,1573100,1604700,1414200,17600,153800,721400,187700,808500,37400,338000,1266200,27600,701800,678600,181000,2207400,963900,196800,110300,4989900,11600,84320700,4617700,420400,280100,17808600,1124800,613700,828600,1059200,10118200,194600,1493500,4130000,42689400,2678200,307900,295900,540500,166600,156600,58400,43800,326200,4574100,2033400,892600,311500,631000,805400,83400,1030400,766200,6553900,826800,457600,57600,1737800,1097000,498500,1019300,597600,4867100,15524500,4581100,292400,1675300,573400,1855100,1538100,568700,497400,108500,1741800,5979800,225000,1655600,268600,1629400,49874000,394300,92900,2300,450300,188951900
01-05-2017,27645400,591300,1647400,2809800,711200,16168200,455800,1886200,661400,1154400,3967700,64600,176800,8089400,15150600,426900,789300,2281400,1532900,1490800,21500,174200,891700,554600,1932900,33000,374200,1478400,38100,763700,2912200,207600,2612100,1104500,273300,157100,4855700,12400,106098700,5240300,1816200,411300,20868600,2447500,919800,1245000,1271200,50315600,248400,1745400,13640600,100169900,2865400,351800,391300,661100,232800,141600,88500,41100,328300,5101900,1890900,937900,259000,849500,811800,123600,1068000,829100,6769800,344900,517800,78100,1789800,851500,569800,925300,725500,6061900,14967800,2494700,365200,1918300,255000,2085400,1624900,492100,660800,131400,1834500,4785300,233300,2171900,256600,1655600,47797400,540200,91100,3900,437700,267010600
01-06-2017,31617300,933400,1300200,2488000,670400,18097000,1620900,2467200,556800,1191100,2850300,81200,192600,5229300,20570800,585300,759800,2757700,1391500,1650200,20900,155100,1300600,486000,1893300,60300,903500,1161200,35400,964300,3722400,223000,5205800,1130800,1022600,143100,4876200,7700,120323200,6277100,3764200,380400,21882700,6438500,891600,2476800,1301100,71421500,217400,1852300,20049200,136952800,3310300,423700,491900,588700,294500,158400,94900,50600,371300,5784300,445400,412300,253900,605100,491100,78800,452700,887900,3627200,83000,86400,74200,1858300,299700,450800,1015000,663500,4813100,22032100,2047800,443000,1658800,60200,608600,1098000,236000,413100,122900,1352800,1147600,281500,1368100,99700,1451500,43765700,670900,119600,2700,294300,311540700
01-07-2017,40568500,1422600,3256400,6830600,1475700,16869700,2657500,6423900,561900,1254000,5258700,198000,203700,7613300,23170800,756300,1037000,5160800,2664700,2053900,27200,186300,1598800,493400,1428100,53300,1457800,1996300,78200,2308000,5259100,293100,6424400,1755100,2459200,245700,5349400,22300,160873700,9279000,4919200,576100,23788200,8731700,870000,2777200,1735700,83196500,275300,2260400,22073100,160482400,4699900,540800,520100,929600,275400,185800,102300,69500,393200,7716600,1922700,1101800,513900,880700,1032400,140900,1025900,920800,7539100,586400,626300,128400,1885200,442500,544200,1164000,777600,11651400,25195000,5493600,474700,3090000,443600,3307900,3479500,274000,1201200,116100,1758800,9886100,242400,4787900,289100,2331100,80177000,1171600,159100,4900,686100,418810500
01-08-2017,71829800,1944500,8373600,11417700,1433300,18911800,2482100,4448600,630100,1071900,16233700,225100,238400,21488500,28850600,760000,1393100,5272200,3468400,2940000,29000,180500,1603800,510200,1411400,89500,1463900,2345100,77800,2024300,5358500,377700,6773100,2036300,2452500,268100,6889500,34200,237338800,11869900,4837100,731900,26992500,8660400,1018700,2770600,2002400,84384800,295300,2665900,20261200,166490700,4978800,600900,459300,1165900,191000,173400,88400,76900,415300,8149900,3731900,1797600,326200,1256500,1034700,132200,1317500,1010500,10607100,881200,982300,109900,2220800,268100,684800,1119700,733800,14858800,29203300,6085200,486400,3415100,970500,5616300,4585100,220800,1051600,104300,2673200,15057600,168200,4957400,276900,2829100,99560400,1119500,139600,3800,876000,524285800
01-09-2017,54164600,1253200,4389200,5636400,992000,17977700,2652000,3109500,700100,1291300,8097500,82600,233400,10348000,27226400,730000,1002900,3529100,2013700,2150800,27100,159400,1513100,789700,2032900,88400,1219700,2012200,80300,1152400,5378100,281300,6190200,1826800,2091600,613100,5732500,11900,178781100,7320500,3485900,465600,27020800,5104700,994400,2215300,1460200,76850500,266000,1346300,18080400,144610600,4060000,599400,609100,1016300,370000,245600,103000,81600,448700,7533700,1902400,1196900,396400,971900,981000,100700,793600,928900,7271800,442500,525200,96900,2218000,482900,786700,991600,778600,12619300,33600000,5945400,514000,2470800,786800,4134700,3424500,441300,761200,133500,2216800,12849600,270300,4510400,372200,2136100,93509300,1199900,155200,4600,868300,433934500
01-10-2017,46675600,720700,1942400,3187800,954000,18210900,1201200,3864600,909300,1628400,4494200,71300,270300,10776000,22847100,557100,1077100,2895300,4195600,1912000,41700,212800,1161100,1015300,2577900,29000,748600,1794600,36500,1313600,3146200,284900,3142000,1434800,453300,207200,6824700,19400,152834500,5572900,2052000,450700,22506800,1993000,1181200,1265900,1434100,61991500,276200,1908900,12988700,113621900,2778100,618100,626800,789400,461000,258200,101100,86500,479100,6198300,2196800,1075500,379200,1083000,913100,115700,938700,968100,7670100,200500,393100,108300,2925400,508100,591200,1240700,965600,6783500,24009400,3828100,522700,2023600,247300,1333300,2078900,580700,834800,165200,1523000,3725000,455000,2544000,246800,2214700,60048900,1012500,123500,3500,631700,342144900
01-11-2017,20468000,725400,1412000,2274000,563700,14503700,344400,750500,131600,439900,3590900,55700,225800,3019500,5848200,280100,965900,1748100,940000,1642000,12500,199500,689100,189700,644600,37100,486200,1092000,42900,652200,987300,240900,2415300,1125200,254400,247700,5652600,11000,74909600,5526200,436100,413700,18183700,1290700,823800,730900,1363700,12188200,231200,1537100,4159100,46884400,1392400,253600,412100,614700,365300,250700,66300,57700,348200,3761000,1716100,966700,201800,896200,766500,112800,1011600,1002900,6674600,205100,301600,102600,2830600,957700,554200,990100,966100,6092900,19912800,1785800,496900,1755200,269600,1187300,1569300,624700,894800,148300,1318000,3360400,309400,1408800,223600,2224300,50490100,462600,66800,7800,392700,183649600
01-12-2017,10724700,665500,1183000,1312300,416100,15525900,244000,538400,89900,353400,2710100,49900,195400,2647900,3544300,192400,1066300,1015400,753500,1706600,13500,162500,592400,127300,195200,22000,275900,1154000,44700,475800,748300,196500,2432600,988900,140500,152600,6243400,7900,58909000,5493000,314700,351100,19589100,1222800,816200,864300,1471100,5726000,262200,1939400,3477900,41527800,1286300,194300,397800,605500,286400,147200,35900,69000,273200,3295600,1436800,846100,282400,866500,848700,109700,1123900,995800,6509900,591000,719600,104000,2727600,1000100,548000,942400,893000,5882000,18430400,1992400,500000,1708200,434500,1248500,1465500,1505300,674000,435200,1308200,2358800,336200,1330300,194300,2007400,49336900,401400,61600,4000,348700,160394900
01-01-2018,12757300,687500,1781900,1508600,538500,12834600,210600,532800,82800,255100,3194300,57300,251300,2974000,3677100,195300,971900,1137200,959000,1680600,10000,166900,696400,121500,189200,19200,272800,1301800,44100,416000,731400,164500,2045600,938000,153000,147700,5325500,8400,59039700,4989200,314700,265400,14806700,1178600,825700,693000,1093900,8072800,253300,1291700,3393400,37178400,2046400,388800,408100,636800,283300,127000,51800,60400,261100,4263700,1562700,994200,318400,1020000,963200,86600,963500,778400,6687000,521600,753500,108300,2572200,1714000,633200,1124500,829100,6333000,15916300,2355000,463500,1536200,738300,2744500,1569600,471700,713000,133900,1464300,5151100,385400,1714100,280300,1868100,52094700,439600,66600,1500,415000,160186200
01-02-2018,9497500,507000,1256600,1318100,406100,10676900,275200,773900,91900,222300,2596100,58600,245400,2290000,3710000,198100,835600,908900,917100,1461700,7400,148200,571400,112800,207600,18300,290200,952000,38600,412400,774700,172300,1933400,1095100,179800,247200,4070400,8400,49487200,4283800,326500,316300,15461600,1256400,696300,652300,1223800,6297000,285500,1167800,3253800,35221100,1710300,385100,339800,503900,119000,120000,94100,43300,258500,3574000,1335200,877300,177500,934800,892200,73300,1013400,753100,6056800,147400,806500,112800,3271400,1170900,621900,978700,717000,6485300,19128900,1470100,506600,2262700,889900,1337900,1311700,622700,570000,108600,1200700,2037500,250200,1413800,208800,1798900,49430900,296400,43200,2900,288300,144400800
01-03-2018,15182300,820300,1380700,1330500,679000,14476300,351300,1048500,200400,312000,3455400,55600,281300,3078400,4591200,288600,1085400,1343700,907200,1772200,26800,186800,746800,168900,250700,19200,361100,1436800,64200,784400,1014700,228900,2517800,1253100,190700,212900,3151800,8300,65264200,5691600,391700,345300,16593900,1493000,722200,775000,1422600,8514500,258000,1323100,4345700,41876600,2548800,454800,330600,667800,336600,224300,65400,48000,342000,5018300,2252700,1024900,243000,1384600,910500,108300,1170000,928600,8022600,304600,465700,133700,2902900,1273300,737200,1085000,946300,6707500,31823000,1885000,634800,1792700,361000,1523700,1669600,816400,769100,189000,1296400,3266800,420000,1747300,261200,2371500,65383700,304700,52300,2100,371600,186296100
01-04-2018,26795400,785600,1724000,3988900,943500,21094100,408900,1793100,545200,1153300,5073600,65900,390100,5022100,13249200,361900,1441400,2332500,2070500,2145400,19000,216100,874700,318300,1705300,63000,526600,1738900,50000,912900,1366200,315500,3348300,1378500,241500,287200,4295400,14400,109056400,5097400,518000,307600,16978900,1384100,723000,915300,1388300,16955000,249700,1309700,5169900,50996900,3210200,540000,583400,753400,429600,254000,83300,64900,425100,6343900,2724600,1534500,444200,1337200,1123900,128700,1234100,981200,9508400,713500,619200,149100,3435500,2201200,753600,1390800,1315500,6102200,18999200,6774600,562700,2134500,656300,2342200,2503700,1107700,904800,211300,1347600,4857500,719800,2821600,317500,3122300,66063900,567000,130700,4400,629200,243300800
01-05-2018,37931900,766400,1946200,3242700,996100,19252800,700700,2706700,1037700,1761700,6299700,62800,369900,13858400,22267700,619900,1309900,3271400,2311800,2146200,24100,246900,1130700,994900,3281800,94300,633200,1576300,53500,1256600,7073100,330600,4359500,1597900,397100,389200,4039300,15700,150355300,6155400,2220800,388700,20087500,2658700,996900,1402700,1612700,71444100,270300,1362200,16581800,125181800,3596100,795500,854300,832300,575900,312100,166800,66400,545100,7744500,1935900,1102800,404200,1311300,943200,123800,1116100,1078000,8015300,195200,366900,125100,3584400,774100,768200,1304800,1626600,5870800,11225300,1974900,651700,1882100,327600,1426700,1762300,610800,789200,186400,1530700,4203500,561500,2224400,279800,2980600,47233600,633300,133200,4900,519600,339821500
01-06-2018,38321600,1199200,2024500,3292800,995700,21936300,3570300,2946100,615200,1666900,3856400,77100,341700,7774700,29686100,896300,1214400,4438500,1787600,2204700,29900,182900,1602200,784100,2966800,45400,1247000,1637200,57700,1501100,9573800,322700,8922700,1870600,1953500,281800,4130800,9800,165966100,7357300,4586600,378400,17857800,7146800,968500,3130800,1742800,97298500,308900,1485900,23408100,165670400,4536300,782600,828900,891000,594700,409300,150600,80900,735800,9010100,859000,880900,450700,1003600,995300,121900,729200,1016900,6057500,99300,212400,166100,3432700,663900,760600,1370100,1396100,7647500,16129200,2765000,731800,1689200,453400,1296400,2054100,478600,842300,237600,1600600,3709800,390100,3198700,217900,2560500,54103900,869300,175200,7500,527900,402387900
01-07-2018,50789400,1515000,4207300,8563200,1986300,19257900,5038000,7335800,708700,1488200,6045000,157100,315700,9442500,30833500,1047300,1528700,6425100,3257700,2625900,46900,186200,1726000,706200,2088700,52600,2344400,2266300,96700,3191900,11572100,351300,10219200,3191800,4139500,452300,4862700,32100,210095200,9910800,4714600,562900,20194300,8476700,945900,3086400,2291600,94737100,432700,1861200,21837200,169051400,5722800,798300,792100,1218300,492200,357300,161800,100200,610300,10253300,2740200,1667300,746600,1654000,1315500,161200,1290300,1112100,10687200,397100,774200,149200,3194400,437700,894000,1406800,1513300,11871200,16427700,4934100,682300,3016200,1120500,3430200,4150500,282300,1720100,137600,1934400,14149100,302000,5956800,378300,3801100,83061100,1428800,217800,5300,918500,485718600
01-08-2018,81954400,2007600,9584400,13292300,1655400,21516000,4791900,5581100,616600,1338600,19748400,214300,365100,25288200,38880700,1093100,2283500,6604900,4018500,4408800,30900,195900,1731600,697900,1961700,146500,2442300,2545000,128700,2712200,12190800,604800,9876100,3374200,4018400,434500,7776300,39200,296150800,14194000,4420200,792800,19938500,8463200,999800,3099700,2668900,91472500,440100,2251600,18363500,167104800,6149300,665400,690100,1541000,380900,257800,139000,103600,606800,10533900,3848000,2487000,452200,1910600,1567900,208900,1498700,1151600,13124900,1033600,1244000,141600,4005800,354200,1113400,1571700,1254200,16764300,18804100,7578200,815600,3412400,2447700,7206000,6287300,342400,1246800,134700,3678000,17942000,276000,8122200,467900,4273100,110517200,1352700,218900,7700,1156900,600167800
01-09-2018,65731100,1564200,5473000,6806300,1480600,30044400,4690900,3975700,755100,1707000,9291100,93100,387000,12365900,35064200,995300,1813600,4711900,2765000,2888200,29600,239200,1879700,994200,2661000,178400,2084500,2706600,107200,1580300,11200700,457100,10092700,2845500,3172400,377900,7743300,19300,240973200,9338100,3681400,563400,22338300,4997800,1198800,2600800,2429700,91281700,421800,1707500,18459700,159019000,5129400,809000,904700,1362000,609200,449400,223100,115000,636900,10238700,3328300,1953500,652300,1766000,1511600,129900,1236600,1155600,11733800,296300,728300,143200,3445800,477600,906100,1350600,1117200,15525200,17939100,5113800,879200,2525800,594200,3712100,4274300,712600,981900,210100,2383800,7650200,354400,4993300,386300,3258700,79960100,1474800,240300,8000,939100,504587000
01-10-2018,70902500,978000,2607100,3564000,1196100,26832000,1912400,4207400,1131800,2052800,6162800,87400,583000,13123800,32242500,831900,1930200,3531000,5906500,2639900,40000,268500,1487700,1311500,3517400,54800,1192400,2241800,64400,1903500,5989100,462600,4758000,2189200,716800,492800,8983700,33700,218131000,6472700,2360600,507600,15779100,2323000,1538000,1482600,2136100,78814400,358800,1730700,14651400,128155000,4310600,716100,851400,1069500,800600,459900,189600,84100,725600,9207400,3047900,1668100,595500,2007000,1237100,133300,1122300,1226400,11037600,155600,363400,160900,4483100,799100,814400,1594500,1453700,11864800,10796600,3975900,885500,1907500,411500,1630100,2850500,843500,1070700,302100,1777500,4496100,856500,3526500,278600,3260500,60559100,1202800,179600,7200,766900,429246600
01-11-2018,25234100,853900,1848500,2918100,665300,20912100,543300,946600,254100,557700,4783300,70200,515000,3773100,8073200,381400,1694600,2270900,1230200,2314700,18600,201900,874700,214800,822600,55600,632300,1298900,59200,856300,1721500,298300,3324900,1494100,342600,505000,7012100,16700,99590400,6212600,605100,415600,14077600,1588700,1130900,791600,1997900,20715800,339800,1738300,5312400,54926300,3083100,308600,668600,757100,513200,422300,95600,75300,490400,6414200,2591100,1581000,265500,1655100,1067600,105500,1304100,1270200,9840100,165100,483100,124200,3253200,982100,683700,1446000,1408900,8861100,10871600,2520500,743400,1684700,352700,1668300,3013700,1136600,933200,321100,1653500,2705600,458300,2402300,248100,3376200,51497200,577000,81400,6500,473100,223406200
01-12-2018,14519800,961600,1386400,1600300,442500,19092800,286300,639100,127500,359000,3292900,61100,298900,3055800,3975500,219000,1571300,1321800,906900,1931900,10600,172800,710600,144300,233000,20800,301500,1169500,54300,574100,1202300,273800,2513600,1046600,187900,220300,7122600,9000,72018000,5680100,373700,376100,14459000,1331400,814900,882100,1939700,8181600,342300,1907900,3996000,40284800,2946500,219200,586000,685800,415300,241200,42300,72700,332700,5541700,2026900,1230900,409200,1667200,1097300,103300,1366900,1240000,9141700,333300,854000,126400,2485200,958100,739900,1313000,1164100,7647900,10174800,2795000,618900,1589500,679600,1356300,2133200,1997200,814000,647000,1604900,2381200,422100,1876800,229900,2723200,47665500,502600,75100,6300,435000,175670700
01-01-2019,15906700,735800,1999100,1724100,589600,15220300,252400,623300,111800,297000,3764900,69800,377300,3235600,4034500,226600,1388900,1342700,1126100,2207900,10900,213300,744900,134400,222200,27100,359200,1330800,77800,505400,1294900,218700,2616700,1319400,171900,197000,5250700,17300,69947000,5293200,347000,249200,11039400,1481200,879400,713400,1519100,11431000,278600,1664700,3891700,38787900,3050400,378000,682200,715300,354700,202200,65300,70200,351400,5869700,2079500,1462600,401100,2376400,1324900,106600,1325000,963400,10039500,532400,1299000,102400,2396800,1688900,859500,1552700,945900,8348000,10473500,3438000,584000,1336000,1179900,3225100,1998500,601700,937600,163600,2127900,4600600,404500,2316700,327500,3003400,54444100,580900,79000,7800,657600,180413500
01-02-2019,11204900,631900,1546500,1305200,474900,13937600,316700,1034100,113800,286800,3499200,62600,299000,2782700,4215100,220800,1116700,1107700,1032200,1742400,10400,160000,665600,1110200,141700,25800,312400,228600,53100,638300,1398200,234100,2446600,1279500,201500,285700,4446300,11800,60580600,4662600,352300,302500,11923400,1460600,824200,709400,1600500,8082700,365000,1678400,3725500,35687100,2193700,375800,503300,605700,185600,160300,145700,52900,291600,4514600,1647300,1144500,192300,1935200,1167900,84400,1089000,963400,8224000,135800,802100,107400,3383900,1057500,733200,1571300,1060700,8886200,10771700,1988000,717100,2184900,583500,1698300,1805200,1046400,658700,163000,1524800,1936800,252400,1831700,239000,2491500,47631100,341300,55100,6400,421200,157461400
01-03-2019,17937000,1060700,1504500,1950300,937700,20652500,469500,1053400,157300,385900,4048600,74800,454400,3673700,5742300,290200,1492600,1501300,1300600,2281900,33500,220800,845800,1780700,184300,21100,507900,331900,76900,760100,1317000,294300,3179500,1534500,235200,334100,7419200,13200,86059200,6130100,447600,382500,13738300,1720200,792600,827300,1750000,12367100,353400,1794700,4700900,45004700,3661800,440700,720900,826600,390700,330900,87300,54400,384200,6897500,2434700,1487100,427800,2040400,1215900,107000,1642600,1177700,10533200,169300,519300,145000,2889700,1136700,983600,1586400,1484400,8990700,18359700,2609300,819000,1556900,543900,1799600,2362200,1000900,987200,244700,1756800,2790100,440300,2024500,286100,3252900,58739200,368800,63000,6500,491000,208163100
